,hbPhotoExist,originBookCode,author,isbn,publishDate,discountPrice,bookDiscount,bookName,executiveEditor,bookId,picPath,price,stockInDate,sumVolume,shopType
0,N,153619,[日]稻盛和夫,978-7-115-53619-8,202108,47.20,0.8,心 稻盛和夫的一生嘱托,张渝涓,5e6fe0f3-6ee7-40c2-8c25-9cdf9b0c87e6,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-53619-8/72jpg/53619.jpg,59,20200514,1007728,1
1,Y,148382,[加]朱迪思·汉弗莱（Judith Humphrey）,978-7-115-48382-9,202109,39.20,0.8,即兴演讲 掌控人生关键时刻,朱玉芬,ebb3164d-06af-41f5-85bd-60f95a5e09cb,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48382-9/72jpg/48382_s300.jpg,49,20180517,551958,1
2,N,141359,【美】本杰明·格雷厄姆,978-7-115-41359-8,202109,54.40,0.8,"聪明的投资者（原本第4版,平装本）",徐向娟,25c373dc-e599-4036-8534-a102aad0a776,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41359-8/72jpg/41359_s300.jpg,68,20160325,467300,1
3,Y,124669,[瑞典]Staffan N?teberg 著,978-7-115-24669-1,202008,23.20,0.8,番茄工作法图解：简单易行的时间管理方法,"罗婧,郝富强",c44b8d45-6a91-4800-b91c-c3392379b208,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-24669-1/72jpg/24669_s300.jpg,29,20110407,330141,1
4,Y,129236,[美]杰西·利弗莫尔(Jesse Livermore) 著,978-7-115-29236-0,202012,28.00,0.8,股票大作手操盘术——融合时间和价格的利弗莫尔准则,王飞龙,f642f34c-9f46-4a6f-ad15-c9b9b2875004,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-29236-0/72jpg/29236_s300.jpg,35,20120919,262818,1
5,N,141358,"[美]本杰明·格雷厄姆,贾森·兹威格",978-7-115-41358-1,202102,70.40,0.8,聪明的投资者（第4版，注疏点评版）,王涧秋,67e260c3-b0cb-41bb-b698-6f9dbd54a610,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41358-1/72jpg/41358_s300.jpg,88,20160325,230379,1
6,Y,137407,[英]弗格斯·奥康奈尔(Fergus O'Connell） 著,978-7-115-37407-3,202102,28.00,0.8,极简主义 风靡欧美的工作与生活理念,姜珊,4d1c7610-10d7-4d4b-a2f2-dd702983ff8d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37407-3/72jpg/37407_s300.jpg,35,20141118,218904,1
7,Y,138808,马涛,978-7-115-38808-7,202109,31.84,0.8,从零开始学炒股：股票入门与实战（全彩图解版）,恭竟平,ca2de4df-b928-47a8-b8ce-5a725106df07,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-38808-7/72jpg/38808_s300.jpg,39.8,20150505,174153,1
8,Y,148908,[日]日野原重明,978-7-115-48908-1,202109,36.00,0.8,活好 我这样活到105岁,朱玉芬,3eee0747-bfd0-49b1-86b4-18d838480264,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48908-1/72jpg/48908_s300.jpg,45,20181010,165596,1
9,N,154342,周岭,978-7-115-54342-4,202109,47.84,0.8,认知觉醒：开启自我改变的原动力,陈素然,7a745ee7-4a02-412f-942a-bf0131743346,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-54342-4/72jpg/54342_s300.jpg,59.8,20200826,165471,1
10,N,148401,白东蕊  岳云康,978-7-115-48401-7,202105,39.84,0.8,电子商务概论（第4版）,万国清,0bbbf65b-c861-4b13-b61a-99ec01bb3809,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48401-7/72jpg/48401_s300.jpg,49.8,20190729,160924,1
11,N,151023,樊登,978-7-115-51023-5,202107,54.40,0.8,低风险创业,袁璐,c7309aeb-a7bc-45e4-9818-47bc4b5579f4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51023-5/72jpg/51023_s300.jpg,68,20190412,160820,1
12,Y,148388,政府会计制度编审委员会,978-7-115-48388-1,202009,79.20,0.8,政府会计制度详解与实务 条文解读 实务应用 案例讲解,李士振,6498a974-0db5-4379-bb77-eaf098e57a28,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48388-1/72jpg/48388_s300.jpg,99,20180515,129160,1
13,Y,147029,吴军,978-7-115-47029-4,202106,79.20,0.8,大学之路 陪女儿在美国选大学 第二版,俞彬,4454c799-f074-4517-8618-d14e93a0d941,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-47029-4/72jpg/47029_s300.jpg,99,20171123,119722,1
14,Y,141092,吴军,978-7-115-41092-4,202105,47.20,0.8,硅谷之谜,俞彬,dd8ecfc3-07bd-44f5-9eea-f6dd3130bbed,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41092-4/72jpg/41092_s300.jpg,59,20151123,109643,1
15,Y,125369,[美]本杰明·格雷厄姆 著,978-7-115-25369-9,201601,46.40,0.8,聪明的投资者(原本第4版),颜林柯,df51085f-1fbd-4d41-9e55-d8ee1b968279,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-25369-9/72jpg/25369_s300.jpg,58,20110909,109570,1
16,N,155228,Sophie,978-7-115-55228-0,202109,47.20,0.8,PPT演讲力 重要时刻 不要输在表达上,王飞龙,53f41fd3-e747-49b9-93d9-5fe92922dec3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-55228-0/72jpg/55228_s300.jpg,59,20210107,95848,1
17,Y,151087,[日]久贺谷亮,978-7-115-51087-7,202109,39.84,0.8,高效休息法 世界精英这样放松大脑,朱伊哲,ffc0c6e6-4921-4e90-babc-8f30864e66bc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51087-7/72jpg/51087_s300.jpg,49.8,20190507,95188,1
18,N,156050,陈春花,978-7-115-56050-6,202109,62.40,0.8,价值共生 数字化时代的组织管理,张渝涓,26752d2c-f720-482a-a346-2c6ddd4362bf,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-56050-6/72jpg/56050_s300.jpg,78,20210413,91533,1
19,Y,134914,[美]埃德文·拉斐尔(Edwin Lefevre) 著,978-7-115-34914-9,202010,28.00,0.8,股票大作手回忆录(超值畅销版),王飞龙,246116e1-38c8-4483-94f7-ac2dd4b7ee40,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-34914-9/72jpg/34914_s300.jpg,35,20140421,91228,1
20,N,139495,叶武滨,978-7-115-39495-8,202011,31.84,0.8,善用时间：90天重塑习惯升级人生,韦毅,37a7e188-cdbb-479f-b208-35ddec518a24,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-39495-8/72jpg/39495_s300.jpg,39.8,20150820,89503,1
21,N,139479,尚旭东,978-7-115-39479-8,201901,36.00,0.8,管理就是带团队：带出高效团队就靠这几招,寇佳音,b30101e0-a238-445f-95d9-1ecc8f0fc290,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-39479-8/72jpg/39479_s300.jpg,45,20150629,88655,1
22,N,1426301,白东蕊 岳云康,978-7-115-42630-7,201901,39.84,0.8,电子商务概论（第3版）,万国清,93927df2-0cb3-42f9-ac8b-a4ec04124e72,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42630-7/72jpg/42630_s300.jpg,49.8,20170815,85995,1
23,N,137142,丁浩 著,978-7-115-37142-3,201807,28.00,0.8,别让人生，输给了心情,寇佳音,0b87f701-bc08-41a8-b2f8-ce6cb77983ee,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37142-3/72jpg/37142_s300.jpg,35,20141105,84092,1
24,N,141165,姜博仁,978-7-115-41165-5,201812,36.00,0.8,新合伙制：移动互联网时代的新型企业组织模式,折青霞,2a337c71-ee07-471c-adc2-5c34e317d3c1,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41165-5/72jpg/41165_s300.jpg,45,20160503,81263,1
25,N,150997,廖敏慧 吴敏 李乐,978-7-115-50997-0,202105,39.84,0.8,电子商务文案策划与写作：软文营销 内容营销 创意文案（第2版）,侯潇雨,500930ee-0eca-4e5d-a2b1-550e2bbfc924,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-50997-0/72jpg/50997_s300.jpg,49.8,20190513,80850,1
26,N,133563,[美]Donald C. Gause　Gerald M. Weinberg 著,978-7-115-33563-0,202002,20.00,0.8,你的灯亮着吗？：发现问题的真正所在,李岩俨,a88587b0-5d5c-46b1-96a3-517f63c409ba,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-33563-0/72jpg/33563_s300.jpg,25,20131129,80634,1
27,N,126827,廖海燕 编著,978-7-115-26827-3,201706,31.20,0.8,零基础学炒股从入门到精通(通达信版),贾鸿飞,0a271610-9b48-4087-b1a0-6f7ca77f38f5,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-26827-3/72jpg/26827_s300.jpg,39,20120312,74751,1
28,Y,145687,【英】理查德·泰普勒（Richard Templar）,978-7-115-45687-8,202109,39.20,0.8,极简工作法则：如何成为领先的少数人,姜珊,eb7d05eb-e565-4944-9b73-2adeb9a8f3a4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45687-8/72jpg/45687_s300.jpg,49,20170717,73850,1
29,N,141736,付祥,978-7-115-41736-7,201907,46.40,0.8,管理就是定制度走流程：企业制度与流程设计落地全案,折青霞,dee921a1-584c-43f6-8cdf-3cfece488214,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41736-7/72jpg/41736_s300.jpg,58,20160418,71288,1
30,Y,151477,李善友,978-7-115-51477-6,202003,55.20,0.8,第二曲线创新,宋燕,9498c256-933a-43c2-a237-b5d7431e3755,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51477-6/72jpg/51477_s300.jpg,69,20190812,69127,1
31,N,144059,秦阳 秋叶,978-7-115-44059-4,201811,31.84,0.8,微信营销与运营,古显义,099e2c32-0e81-46e0-9cb6-381ad7b66d01,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44059-4/72jpg/44059_s300.jpg,39.8,20161214,68123,1
32,Y,145784,【英】理查德·泰普勒（Richard Templar）,978-7-115-45784-4,202106,39.20,0.8,极简生活法则,姜珊,1de752c6-f6a5-47ef-bb12-4adedb4108d9,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45784-4/72jpg/45784_s300.jpg,49,20170713,67683,1
33,N,143209,廖敏慧 倪莉莉,978-7-115-43209-4,201909,31.84,0.8,电子商务文案策划与写作：软文营销 内容营销 创意文案,朱海昀,1ed3f04b-d277-474a-ba9d-48a38f2ad40e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43209-4/72jpg/43209_s300.jpg,39.8,20161013,64948,1
34,Y,151055,粥左罗,978-7-115-51055-6,202108,47.20,0.8,学会写作 自我进阶的高效方法,郑婷,edd019ab-25cc-4d0b-8a4e-43886c46a1cc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51055-6/72jpg/51055_s300.jpg,59,20190527,63700,1
35,Y,143328,冷爱,978-7-115-43328-2,202106,31.84,0.8,冷眼观爱2 一切情感问题的答案,赵娟,91344277-b6a0-45fa-95e4-305b6702ba8d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43328-2/72jpg/43328_s300.jpg,39.8,20160824,62920,1
36,Y,144617,杨晓刚,978-7-115-44617-6,202107,36.00,0.8,股权激励一本通 方案+范本+案例,庞卫军,9744c983-ec5d-4e70-a9a4-cda0b0d70c06,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44617-6/72jpg/44617_s300.jpg,45,20170213,62069,1
37,N,145046,叶小鱼 勾俊伟,978-7-115-45046-3,201812,31.84,0.8,新媒体文案创作与传播,古显义,08eeae00-39ff-4556-8c4c-30e6532e640d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45046-3/72jpg/45046_s300.jpg,39.8,20170504,61271,1
38,N,1514742,邓文达 罗旭 刘寒春,978-7-115-51474-5,202109,33.60,0.8,大学生创新创业（微课版 第2版）,刘琦,ffef1350-cd5d-496d-9d0c-c0eeace54d0b,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51474-5/72jpg/51474_s300.jpg,42,20210119,60711,1
39,Y,140472,郭春光,978-7-115-40472-5,202109,36.00,0.8,微信公众号运营与推广一册通 流程 技巧 案例,付路,bc010e3c-620b-48f5-8cac-8c3304d5dff8,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-40472-5/72jpg/40472_s300.jpg,45,20151105,59695,1
40,N,133326,石真语 著,978-7-115-33326-1,201804,46.40,0.8,管理就是走流程：没有规范流程，管理一切为零,寇佳音,2321b338-85ce-4533-9679-6336a7c6838b,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-33326-1/72jpg/33326_s300.jpg,58,20140113,59004,1
41,N,141528,惠亚爱 乔晓娟,978-7-115-41528-8,201906,31.84,0.8,网络营销：推广与策划,朱海昀,030c4fd5-172d-46c7-8f6f-eac69ef31a61,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41528-8/72jpg/41528_s300.jpg,39.8,20160201,58190,1
42,N,153712,[英]理查德·泰普勒（Richard Templar）,978-7-115-53712-6,202106,47.20,0.8,多维度思考 拥有正确判断和科学决策的100条极简法则,姜珊,56726218-6463-4e79-822d-dadd73d60718,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-53712-6/72jpg/53712_s300.jpg,59,20200528,57538,1
43,Y,134122,阚险峰 编著,978-7-115-34122-8,202106,28.00,0.8,二手房销售超级训练手册(实战强化版),庞卫军,85da575e-c6b1-455c-ac0e-430253d9b029,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-34122-8/72jpg/34122_s300.jpg,35,20140324,57458,1
44,Y,149243,胡森林,978-7-115-49243-2,202101,39.84,0.8,公文高手的修炼之道 笔杆子的写作必修课,刘琦,35743aba-c224-4cbc-b6f0-fb1064f5dcf3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49243-2/72jpg/49243_s300.jpg,49.8,20181008,57264,1
45,N,148871,书签客,978-7-115-48871-8,202108,44.00,0.8,手把手教你买基金,王飞龙,fb549927-808c-4dc9-8c89-2590f5cdc7cd,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48871-8/72jpg/48871_s300.jpg,55,20180808,57246,1
46,N,1479702,勾俊伟,978-7-115-47970-9,202102,31.84,0.8,新媒体运营：产品运营+内容运营+用户运营+活动运营,古显义,be3b68b0-bdb3-46b9-8d65-f9c2ef7ed025,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-47970-9/72jpg/47970_s300.jpg,39.8,20190109,55790,1
47,N,139546,崔凯,978-7-115-39546-7,201711,36.00,0.8,投融资那点事儿：一本书轻松搞懂资本真相,寇佳音,eb5a904d-ff6c-4d18-a53c-1db00a9a93f4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-39546-7/72jpg/39546_s300.jpg,45,20150701,54632,1
48,N,145464,邓志超 崔慧勇 莫川川,978-7-115-45464-5,202012,36.00,0.8,跨境电商基础与实务,朱海昀,c97b6d8d-fd3b-4692-956e-4ea0a8271d94,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45464-5/72jpg/45464_s300.jpg,45,20170605,54559,1
49,N,151553,邓先娥  汪芳,978-7-115-51553-7,202106,36.80,0.8,经济学基础（第3版）,万国清,9b17562f-81ee-4d61-a38e-c1b7fe3da5ca,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51553-7/72jpg/51553_s300.jpg,46,20190802,54273,1
50,Y,149244,胡森林,978-7-115-49244-9,202101,47.84,0.8,公文高手的修炼之道 笔杆子的写作进阶课,刘琦,6aa8ae10-524a-4cc3-8cd6-75cb913fd354,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49244-9/72jpg/49244_s300.jpg,59.8,20181008,54268,1
51,N,141703,冷爱,978-7-115-41703-9,201803,31.84,0.8,冷眼观爱,冯欣,4856f0d6-072b-40cc-9cd2-7009483831ae,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41703-9/72jpg/41703_s300.jpg,39.8,20160330,53567,1
52,N,137447,全国会计从业资格考试研究中心 编著,978-7-115-37447-9,201603,23.84,0.8,全国会计从业资格考试专用教材——财经法规与会计职业道德(第2版),牟桂玲,d49758d9-c1ef-44a2-9842-fb64f5e3e344,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37447-9/72jpg/37447_s300.jpg,29.8,20141215,53455,1
53,Y,138743,三虎,978-7-115-38743-1,202107,39.84,0.8,淘宝开店从入门到精通——开店、装修、管理、推广、安全一本就够,牟桂玲,26da19bb-c8b1-4f9e-9243-e846f728a3ff,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-38743-1/72jpg/38743_s300.jpg,49.8,20150518,53361,1
54,Y,149245,胡森林,978-7-115-49245-6,202101,44.00,0.8,公文高手的修炼之道 笔杆子的写作精品课,刘琦,2b2cb535-617a-46a8-82f8-224e6f517a0e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49245-6/72jpg/49245_s300.jpg,55,20181008,53039,1
55,N,117343,null,978-7-115-17343-0,202109,70.40,0.8,经济学(第18版),高雁,5f1b6b7c-464f-458a-867f-a508a5b302b3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-17343-0/72jpg/17343.jpg,88,20080310,52269,1
56,Y,120379,[美]马克·墨菲（Mark Murphy）,978-7-115-20379-3,202105,39.20,0.8,用事实说话 透明化沟通的8项原则,王振杰,5cc7d1c0-823b-4c80-991b-24e1c0a387fb,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-20379-3/72jpg/20379_s300.jpg,49,20190116,51992,1
57,N,135957,秋叶 刘勇,978-7-115-35957-5,201901,28.80,0.8,新媒体营销概论,古显义,1eb4d69f-e154-4c01-a318-fe6620483b35,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-35957-5/72jpg/35957_s300.jpg,36,20161215,51712,1
58,Y,147703,秋叶 邻三月 秦阳,978-7-115-47703-3,202102,55.20,0.8,社群营销实战手册 从社群运营到社群经济,牟桂玲,00efd872-1ff5-4faa-be13-132003ac3709,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-47703-3/72jpg/47703_s300.jpg,69,20180122,51237,1
59,N,137442,全国会计从业资格考试研究中心 编著,978-7-115-37442-4,201603,23.84,0.8,全国会计从业资格考试专用教材——会计基础(第2版),牟桂玲,f57570bf-f5bc-4148-b867-d51beef48034,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37442-4/72jpg/37442_s300.jpg,29.8,20150310,51105,1
60,Y,143451,[美]希瑟·布里林特（Heather Brilliant） [美]伊丽莎白·柯林斯（Elizabeth Collins）,978-7-115-43451-7,202108,47.20,0.8,投资的护城河 晨星公司解密巴菲特股市投资法则,陆林颖,b257049f-30d9-4c8e-99f6-81e3c2ae77ee,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43451-7/72jpg/43451_s300.jpg,59,20160926,51075,1
61,N,152073,任康磊,978-7-115-52073-9,202108,55.84,0.8,小团队管理的7个方法 全图解落地版,郭媛,cc9f2992-57b5-43d8-8795-0f15255d8a1d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-52073-9/72jpg/52073_s300.jpg,69.8,20191030,50642,1
62,Y,130129,谭春虹 著,978-7-115-30129-1,202101,28.80,0.8,哈佛情商课：献给奋斗中的你,寇佳音,d208d87e-4812-4b12-8dc6-900cd4900808,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-30129-1/72jpg/30129_s300.jpg,36,20130108,49770,1
63,N,137515,全国会计从业资格考试研究中心,978-7-115-37515-5,201603,19.84,0.8,全国会计从业资格考试专用教材——会计电算化（第2版）,牟桂玲,771f3db0-d643-485f-8ad1-1b46951abb40,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37515-5/72jpg/37515_s300.jpg,24.8,20150310,49731,1
64,Y,142077,谢士杰,978-7-115-42077-0,202011,31.84,0.8,读懂财务报表看透企业经营 案例分析+实务指引,恭竟平,d99db2dd-b1e6-4a57-b432-f8f246d65752,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42077-0/72jpg/42077_s300.jpg,39.8,20160607,49481,1
65,N,142370,邓文达 邓朝晖 李一,978-7-115-42370-2,201909,31.84,0.8,大学生创新创业,刘琦,65997b7f-8487-4192-999c-69ad99063eb8,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42370-2/72jpg/42370_s300.jpg,39.8,20160822,49099,1
66,N,143659,苟旭杰,978-7-115-43659-7,202009,46.40,0.8,股权资本整体解决方案,折青霞,9aa937a9-3315-4cd0-b4d8-5ef09c93fcbb,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43659-7/72jpg/43659_s300.jpg,58,20161017,49094,1
67,Y,148387,任康磊,978-7-115-48387-4,202004,47.84,0.8,人力资源管理实操从入门到精通,郭媛,7dba85e7-4bc8-4eb9-a23c-be12e4a19e99,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48387-4/72jpg/48387_s300.jpg,59.8,20180620,48992,1
68,N,128822,[英]迈克尔·赫佩尔(Michael Heppell) 著,978-7-115-28822-6,202010,23.84,0.8,超级时间整理术——每天多出一小时,王楠楠,f12a972e-5dc6-4613-9c4c-c0ba833607bc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-28822-6/72jpg/28822_s300.jpg,29.8,20120813,48117,1
69,N,137420,谢新华,978-7-115-37420-2,201803,43.20,0.8,网店商品拍摄与图片处理,刘琦,cada5aee-bc7b-4e40-92c2-c44e20a85a72,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37420-2/72jpg/37420_s300.jpg,54,20150320,46832,1
70,N,154248,杨述,978-7-115-54248-9,202103,94.40,0.8,PMP 5A备考宝典,杨佳凝,b5baca1a-f396-480d-89ba-78f3495f024e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-54248-9/72jpg/54248_s300.jpg,118,20200914,46740,1
71,N,156121,[日]稻盛和夫,978-7-115-56121-3,202105,47.20,0.8,斗魂：稻盛和夫的成功热情,张渝涓,fb06e3f1-6a4c-4830-a1ff-7c24f53f2e28,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-56121-3/72jpg/56121_s300.jpg,59,20210430,46126,1
72,N,144353,王利锋,978-7-115-44353-3,202002,36.00,0.8,网店运营实务（第2版）,朱海昀,ba4bc945-fa27-4d6c-b6c4-2d75f8a60c16,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44353-3/72jpg/44353_s300.jpg,45,20170116,45365,1
73,N,126816,[美]保罗·萨缪尔森  威廉·诺德豪斯 著,978-7-115-26816-7,202011,38.40,0.8,微观经济学(第19版),颜林珂 王涧秋,d6c3c3c7-a2b5-4201-982a-598bd4724abd,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-26816-7/72jpg/26816_s300.jpg,48,20111229,44925,1
74,Y,144282,谭贤,978-7-115-44282-6,202108,39.84,0.8,新媒体运营从入门到精通,恭竟平,27be6511-3123-423e-8aaf-8b66c0a932fc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44282-6/72jpg/44282_s300.jpg,49.8,20170313,44312,1
75,N,148924,刘霞  宋卫,978-7-115-48924-1,202008,38.40,0.8,大学生创新创业指导（慕课版）,古显义,eeab3b0d-a314-4bcf-9246-750f055eadcc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48924-1/72jpg/48924_s300.jpg,48,20181207,44056,1
76,N,150993,张向南，勾俊伟,978-7-115-50993-2,202105,31.84,0.8,新媒体运营实战技能 第2版,古显义,71382f15-a681-4daa-ad7c-cd1d4cde3930,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-50993-2/72jpg/50993_s300.jpg,39.8,20190505,43945,1
77,N,155236,周国元,978-7-115-55236-5,202108,55.84,0.8,（涨定价）麦肯锡结构化战略思维：如何想清楚、说明白、做到位,王振杰,508940de-7b15-4269-a20a-f0b89714e9da,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-55236-5/72jpg/55236_s300.jpg,69.8,20201128,43894,1
78,N,148380,邵贵平,978-7-115-48380-5,202105,41.60,0.8,电子商务物流管理（第3版）,刘琦,dea5dea1-aef6-4e2b-a7ac-e0e701627c96,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48380-5/72jpg/48380_s300.jpg,52,20180810,43603,1
79,N,138008,万守付,978-7-115-38008-1,201812,36.00,0.8,电子商务基础（第4版）,刘琦,ef9d0bca-3574-43d7-ac3b-3e6fc15f20d9,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-38008-1/72jpg/38008_s300.jpg,45,20150309,43438,1
80,Y,137942,苏高,978-7-115-37942-9,202107,38.40,0.8,软文营销从入门到精通,恭竟平,02b0f0ef-d730-4748-b62d-8a59d2447e2c,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37942-9/72jpg/37942_s300.jpg,48,20150206,43362,1
81,Y,144860,[瑞典]史蒂夫·诺特伯格（Staffan N?teberg）,978-7-115-44860-6,202011,31.20,0.8,单核工作法图解：事多到事少，拖延变高效,杨琳,edb014dc-32b9-428d-9998-127087ff362e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44860-6/72jpg/44860_s300.jpg,39,20171017,43270,1
82,N,142346,张志 乔辉,978-7-115-42346-7,201912,25.60,0.8,大学生创新创业入门教程,古显义,e1bfa261-7772-4025-ab60-c6c07910762e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42346-7/72jpg/42346_s300.jpg,32,20160823,42887,1
83,N,142630,白东蕊 岳云康,978-7-115-42630-7,201707,38.40,0.8,电子商务概论（第3版）,万国清,b8ea08f3-9e9f-4959-9a6b-cd1a8bd5be1c,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42630-7/72jpg/42630_s300.jpg,48,20160729,42111,1
84,N,1450462,叶小鱼 勾俊伟,978-7-115-45046-3,202008,31.84,0.8,新媒体文案创作与传播,古显义,62f1cae2-ad5c-4553-ac2d-163cb1d0012d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45046-3/72jpg/45046_s300.jpg,39.8,20190111,41895,1
85,N,145062,杨慧卿,978-7-115-45062-3,202109,39.84,0.8,经济数学——微积分（第2版）（微课版）,税梦玲,74d0aedf-21a1-49e5-befc-2cffd8e03cf7,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45062-3/72jpg/45062_s300.jpg,49.8,20170405,41758,1
86,N,1246691,[瑞典]Staffan N·teberg 著,978-7-115-24669-1,202109,31.20,0.8,番茄工作法图解 简单易行的时间管理方法,"罗婧,郝富强",4e54f442-c7d1-4560-ab21-1ff59c73f0a5,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-24669-1/72jpg/24669_s300.jpg,39,20200827,41626,1
87,Y,139104,老A电商学院,978-7-115-39104-9,202101,31.84,0.8,淘宝网店金牌客服实战,恭竟平,bf26af23-b503-48de-bae1-dd3f6dec694e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-39104-9/72jpg/39104_s300.jpg,39.8,20150609,41464,1
88,N,149891,孙金明 王春凤,978-7-115-49891-5,202105,31.84,0.8,商务礼仪实务（附微课视频）,李育民,393bddcb-38fa-421a-a8ea-6b3bbf9d18a3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49891-5/72jpg/49891_s300.jpg,39.8,20181227,41107,1
89,Y,146317,【英】理查德·泰普勒（Richard Templar）,978-7-115-46317-3,202106,39.20,0.8,极简管理法则,姜珊,fa19ba40-31f2-4c4e-b3e3-4dafcae362ed,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-46317-3/72jpg/46317_s300.jpg,49,20170814,40371,1
90,Y,137621,[美]威廉·D.江恩(William D.Gann) 著,978-7-115-37621-3,202109,28.00,0.8,江恩股市趋势理论-专业解读版,陈斯雯,0d7b8761-8744-41a5-b5b6-20efca85adbd,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37621-3/72jpg/37621_s300.jpg,35,20141216,39842,1
